ptp4l[6535.452]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.452]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.453]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.507]: port 1 (eth0): new foreign master 0242ac.fffe.102500-1
ptp4l[6539.507]: selected best master clock 0242ac.fffe.102500
ptp4l[6539.508]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[6541.507]: master offset       1150 s0 freq   -8271 path delay     -2250
ptp4l[6542.508]: master offset       -750 s0 freq   -8271 path delay     -1650
ptp4l[6543.508]: master offset       1250 s0 freq   -8271 path delay     -2250
ptp4l[6544.508]: master offset       -850 s0 freq   -8271 path delay     -2250
ptp4l[6545.508]: master offset       1450 s0 freq   -8271 path delay     -2450
ptp4l[6546.508]: master offset       -350 s0 freq   -8271 path delay     -2350
ptp4l[6547.508]: master offset       1400 s0 freq   -8271 path delay     -2300
ptp4l[6548.508]: master offset         75 s0 freq   -8271 path delay     -2275
ptp4l[6549.508]: master offset       1150 s0 freq   -8271 path delay     -2150
ptp4l[6550.508]: master offset       -450 s0 freq   -8271 path delay     -2150
ptp4l[6551.508]: master offset       1025 s0 freq   -8271 path delay     -2325
ptp4l[6552.509]: master offset      -1775 s0 freq   -8271 path delay     -2325
ptp4l[6553.509]: master offset      -1576 s0 freq   -8271 path delay     -2325
ptp4l[6554.509]: master offset      -4675 s0 freq   -8271 path delay     -2325
ptp4l[6555.509]: master offset       1325 s0 freq   -8271 path delay     -2325
ptp4l[6556.509]: master offset        150 s0 freq   -8271 path delay     -2150
ptp4l[6557.509]: master offset        350 s2 freq   -8321 path delay     -2250
ptp4l[6557.519]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[6558.509]: master offset        500 s2 freq   -8271 path delay     -2200
ptp4l[6559.509]: master offset        100 s2 freq   -8311 path delay     -2200
ptp4l[6560.509]: master offset       -200 s2 freq   -8341 path delay     -2200
ptp4l[6561.509]: master offset       1200 s2 freq   -8200 path delay     -2300
ptp4l[6562.510]: master offset          0 s2 freq   -8320 path delay     -2300
ptp4l[6563.510]: master offset       1450 s2 freq   -8173 path delay     -2350
ptp4l[6564.510]: master offset      -2175 s2 freq   -8538 path delay     -2225
ptp4l[6565.510]: master offset        925 s2 freq   -8227 path delay     -2225
ptp4l[6566.510]: master offset        800 s2 freq   -8239 path delay     -2200
ptp4l[6567.510]: master offset       -475 s2 freq   -8367 path delay     -2225
ptp4l[6568.510]: master offset       -250 s2 freq   -8345 path delay     -2350
ptp4l[6569.510]: master offset       1375 s2 freq   -8181 path delay     -2475
ptp4l[6570.510]: master offset         75 s2 freq   -8311 path delay     -2475
ptp4l[6571.510]: master offset       1475 s2 freq   -8169 path delay     -2475
ptp4l[6572.511]: master offset        525 s2 freq   -8264 path delay     -2325
ptp4l[6573.511]: master offset        625 s2 freq   -8253 path delay     -2325
ptp4l[6574.511]: master offset        150 s2 freq   -8300 path delay     -2150
ptp4l[6575.511]: master offset        925 s2 freq   -8222 path delay     -2125
ptp4l[6576.511]: master offset        225 s2 freq   -8292 path delay     -2125
ptp4l[6577.511]: master offset        725 s2 freq   -8241 path delay     -2125
ptp4l[6578.511]: master offset       -175 s2 freq   -8331 path delay     -2125
ptp4l[6579.511]: master offset       1125 s2 freq   -8200 path delay     -2125
ptp4l[6580.511]: master offset       -125 s2 freq   -8325 path delay     -2075
ptp4l[6581.511]: master offset        974 s2 freq   -8214 path delay     -2075
ptp4l[6582.512]: master offset        125 s2 freq   -8299 path delay     -2025
ptp4l[6583.512]: master offset       1025 s2 freq   -8208 path delay     -2025
ptp4l[6584.512]: master offset       -975 s2 freq   -8409 path delay     -2025
ptp4l[6585.512]: master offset        825 s2 freq   -8228 path delay     -2125
ptp4l[6586.512]: master offset        100 s2 freq   -8301 path delay     -2200
ptp4l[6587.512]: master offset        525 s2 freq   -8258 path delay     -2225
ptp4l[6588.512]: master offset        125 s2 freq   -8297 path delay     -2225
ptp4l[6589.512]: master offset       1100 s2 freq   -8199 path delay     -2200
ptp4l[6590.512]: master offset       -300 s2 freq   -8339 path delay     -2200
ptp4l[6591.512]: master offset       1025 s2 freq   -8206 path delay     -2325
ptp4l[6592.512]: master offset       -475 s2 freq   -8356 path delay     -2325
ptp4l[6593.512]: master offset        -25 s2 freq   -8311 path delay     -2475
ptp4l[6594.513]: master offset      -1775 s2 freq   -8488 path delay     -2525
ptp4l[6595.513]: master offset       1350 s2 freq   -8174 path delay     -2650
ptp4l[6596.513]: master offset       1350 s2 freq   -8173 path delay     -2650
ptp4l[6597.513]: master offset       1300 s2 freq   -8176 path delay     -2600
ptp4l[6598.513]: master offset        800 s2 freq   -8226 path delay     -2600
ptp4l[6599.513]: master offset       1000 s2 freq   -8205 path delay     -2600
ptp4l[6600.513]: master offset        750 s2 freq   -8229 path delay     -2550
ptp4l[6601.513]: master offset       1250 s2 freq   -8178 path delay     -2550
ptp4l[6602.513]: master offset 7103009339576798635 s2 freq +100000000 path delay     -2550
ptp4l[6603.513]: master offset        100 s2 freq   -8292 path delay     -2300
ptp4l[6604.513]: master offset 7103009341576981206 s2 freq +100000000 path delay     -2300
ptp4l[6605.514]: master offset 7103009342577073260 s2 freq +100000000 path delay     -2075
ptp4l[6606.514]: master offset 7103009343577176863 s2 freq +100000000 path delay     -2000
ptp4l[6607.514]: master offset       -525 s2 freq   -8355 path delay     -1975
ptp4l[6608.514]: master offset       -625 s2 freq   -8366 path delay     -1975
ptp4l[6609.514]: master offset       -201 s2 freq   -8324 path delay     -2000
ptp4l[6610.514]: master offset      -1000 s2 freq   -8405 path delay     -2000
ptp4l[6611.514]: master offset        150 s2 freq   -8290 path delay     -2350
ptp4l[6612.514]: master offset      -1650 s2 freq   -8471 path delay     -2450
ptp4l[6613.514]: master offset        675 s2 freq   -8238 path delay     -2475
ptp4l[6614.514]: master offset 7103009351577772913 s2 freq +100000000 path delay     -2475
ptp4l[6615.514]: master offset       -125 s2 freq   -8318 path delay     -2475
ptp4l[6616.514]: master offset       -350 s2 freq   -8341 path delay     -2650
ptp4l[6617.515]: master offset       1350 s2 freq   -8170 path delay     -2650
ptp4l[6618.515]: master offset      -2375 s2 freq   -8545 path delay     -2525
ptp4l[6619.515]: master offset       -676 s2 freq   -8375 path delay     -2525
ptp4l[6620.515]: master offset       -875 s2 freq   -8396 path delay     -2525
ptp4l[6621.515]: master offset       1525 s2 freq   -8155 path delay     -2925
ptp4l[6622.515]: master offset        325 s2 freq   -8274 path delay     -2525
ptp4l[6623.515]: master offset       1250 s2 freq   -8181 path delay     -2450
ptp4l[6624.515]: master offset       -550 s2 freq   -8361 path delay     -2450
ptp4l[6625.515]: master offset       1250 s2 freq   -8180 path delay     -2450
ptp4l[6626.516]: master offset         25 s2 freq   -8302 path delay     -2325
ptp4l[6627.516]: master offset        825 s2 freq   -8222 path delay     -2325
ptp4l[6628.516]: master offset       -300 s2 freq   -8334 path delay     -2300
ptp4l[6629.516]: master offset         50 s2 freq   -8299 path delay     -2650
ptp4l[6630.516]: master offset       -125 s2 freq   -8317 path delay     -2575
ptp4l[6631.516]: master offset       1275 s2 freq   -8176 path delay     -2575
ptp4l[6632.516]: master offset       -100 s2 freq   -8313 path delay     -2300
ptp4l[6633.516]: master offset       1150 s2 freq   -8187 path delay     -2350
ptp4l[6634.516]: master offset       -700 s2 freq   -8373 path delay     -2100
ptp4l[6635.516]: master offset       1350 s2 freq   -8166 path delay     -2250
ptp4l[6636.517]: master offset        400 s2 freq   -8261 path delay     -2100
ptp4l[6637.517]: master offset       1025 s2 freq   -8198 path delay     -2125
ptp4l[6638.517]: master offset         25 s2 freq   -8297 path delay     -2125
