defualt wg
ptp4l[9343.008]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[9343.010]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[9343.010]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[9348.335]: port 1 (eth0): new foreign master 0242ac.fffe.102500-1
ptp4l[9350.350]: port 1 (eth0): LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES
ptp4l[9350.350]: selected local clock 0242ac.fffe.102501 as best master
ptp4l[9350.351]: port 1 (eth0): assuming the grand master role
ptp4l[9352.336]: selected best master clock 0242ac.fffe.102500
ptp4l[9352.343]: port 1 (eth0): MASTER to UNCALIBRATED on RS_SLAVE
ptp4l[9354.336]: master offset       9250 s0 freq      -0 path delay    -18350
ptp4l[9355.336]: master offset      14750 s0 freq      -0 path delay    -18350
ptp4l[9356.336]: master offset       7275 s0 freq      -0 path delay    -11475
ptp4l[9357.336]: master offset       1425 s0 freq      -0 path delay     -5625
ptp4l[9358.337]: master offset       4850 s0 freq      -0 path delay     -6650
ptp4l[9359.337]: master offset       3150 s0 freq      -0 path delay     -6650
ptp4l[9360.337]: master offset       3825 s0 freq      -0 path delay     -5725
ptp4l[9361.338]: master offset       2225 s0 freq      -0 path delay     -5725
ptp4l[9362.338]: master offset       2800 s0 freq      -0 path delay     -5100
ptp4l[9363.338]: master offset      -1150 s0 freq      -0 path delay     -4950
ptp4l[9364.338]: master offset       1050 s0 freq      -0 path delay     -4950
ptp4l[9365.338]: master offset       1425 s0 freq      -0 path delay     -5125
ptp4l[9366.339]: master offset       1725 s0 freq      -0 path delay     -5125
ptp4l[9367.339]: master offset        325 s0 freq      -0 path delay     -4025
ptp4l[9368.339]: master offset      -3875 s0 freq      -0 path delay     -4025
ptp4l[9369.340]: master offset     -11475 s0 freq      -0 path delay     -4025
ptp4l[9370.346]: master offset       1500 s2 freq    -484 path delay     -4200
ptp4l[9370.346]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[9371.340]: master offset        500 s2 freq    -434 path delay     -4200
ptp4l[9372.340]: master offset       -975 s2 freq    -582 path delay     -4025
ptp4l[9373.340]: master offset     -18200 s2 freq   -2323 path delay     -4200
ptp4l[9374.340]: master offset       1100 s2 freq    -392 path delay     -4200
ptp4l[9375.341]: master offset        275 s2 freq    -474 path delay     -4075
ptp4l[9376.341]: master offset     -10275 s2 freq   -1539 path delay     -3925
ptp4l[9377.341]: master offset      -2125 s2 freq    -727 path delay     -4075
ptp4l[9378.341]: master offset       6150 s2 freq    +107 path delay     -8650
ptp4l[9379.341]: master offset       2950 s2 freq    -210 path delay     -7150
ptp4l[9380.341]: master offset       2850 s2 freq    -217 path delay     -5650
ptp4l[9381.341]: master offset       1000 s2 freq    -401 path delay     -5400
ptp4l[9382.341]: master offset       2800 s2 freq    -218 path delay     -5400
ptp4l[9383.342]: master offset     -12800 s2 freq   -1791 path delay     -5400
ptp4l[9384.342]: master offset       -300 s2 freq    -541 path delay     -5400
ptp4l[9385.342]: master offset       2100 s2 freq    -299 path delay     -5900
ptp4l[9386.343]: master offset      -1300 s2 freq    -641 path delay     -5900
ptp4l[9387.343]: master offset       1075 s2 freq    -402 path delay     -5975
ptp4l[9388.342]: master offset       2925 s2 freq    -214 path delay     -5725
ptp4l[9389.343]: master offset        500 s2 freq    -456 path delay     -6000
ptp4l[9390.343]: master offset       2800 s2 freq    -223 path delay     -6000
ptp4l[9391.343]: master offset       2000 s2 freq    -301 path delay     -6000
ptp4l[9392.343]: master offset       2525 s2 freq    -246 path delay     -5225
ptp4l[9393.343]: master offset       1025 s2 freq    -395 path delay     -5225
ptp4l[9394.346]: master offset     -27775 s2 freq   -3303 path delay     -5225
ptp4l[9395.346]: master offset     -10675 s2 freq   -1604 path delay     -5225
ptp4l[9396.345]: master offset      -6450 s2 freq   -1188 path delay     -5450
ptp4l[9397.345]: master offset       1325 s2 freq    -409 path delay     -7325
ptp4l[9398.346]: master offset      -1875 s2 freq    -731 path delay     -7125
ptp4l[9399.346]: master offset      -4075 s2 freq    -955 path delay     -7125
ptp4l[9400.346]: master offset       2825 s2 freq    -262 path delay    -10225
ptp4l[9401.346]: master offset       4025 s2 freq    -138 path delay    -10225
ptp4l[9402.346]: master offset       6025 s2 freq     +68 path delay     -9625
ptp4l[9403.346]: master offset       2325 s2 freq    -300 path delay     -7425
ptp4l[9404.346]: master offset       3050 s2 freq    -224 path delay     -6550
ptp4l[9405.346]: master offset      -5450 s2 freq   -1079 path delay     -5750
ptp4l[9406.347]: master offset      -2350 s2 freq    -772 path delay     -6550
ptp4l[9407.348]: master offset      -7325 s2 freq   -1277 path delay     -6875
ptp4l[9408.347]: master offset       2175 s2 freq    -324 path delay     -6875
ptp4l[9409.347]: master offset     -14825 s2 freq   -2039 path delay     -6875
ptp4l[9410.348]: master offset       3325 s2 freq    -221 path delay     -9325
ptp4l[9411.348]: master offset       4925 s2 freq     -56 path delay     -9325
ptp4l[9412.349]: master offset      -6650 s2 freq   -1220 path delay     -9650
ptp4l[9413.350]: master offset      -2200 s2 freq    -777 path delay     -9900
ptp4l[9414.349]: master offset       4250 s2 freq    -128 path delay     -9650
ptp4l[9415.349]: master offset       4625 s2 freq     -86 path delay     -9625
ptp4l[9416.350]: master offset     -10275 s2 freq   -1586 path delay     -9625
ptp4l[9417.350]: master offset       7225 s2 freq    +171 path delay    -11025
ptp4l[9418.350]: master offset       2475 s2 freq    -302 path delay     -8775
ptp4l[9419.350]: master offset       1750 s2 freq    -372 path delay     -7550
ptp4l[9420.350]: master offset       2875 s2 freq    -257 path delay     -7175
ptp4l[9421.351]: master offset       2975 s2 freq    -244 path delay     -7175
ptp4l[9422.351]: master offset        450 s2 freq    -496 path delay     -5850
ptp4l[9423.351]: master offset       1650 s2 freq    -374 path delay     -5850
ptp4l[9424.351]: master offset       1475 s2 freq    -390 path delay     -5375
ptp4l[9425.351]: master offset        875 s2 freq    -450 path delay     -5375
ptp4l[9426.351]: master offset       1400 s2 freq    -396 path delay     -5200
ptp4l[9427.351]: master offset        800 s2 freq    -455 path delay     -5200
ptp4l[9428.352]: master offset      -1725 s2 freq    -709 path delay     -5375
ptp4l[9429.352]: master offset      -1775 s2 freq    -716 path delay     -5825
ptp4l[9430.352]: master offset       1875 s2 freq    -349 path delay     -5775
ptp4l[9431.352]: master offset       3275 s2 freq    -206 path delay     -5775
ptp4l[9432.352]: master offset       1775 s2 freq    -354 path delay     -5775
ptp4l[9433.352]: master offset       1450 s2 freq    -385 path delay     -6050
ptp4l[9434.353]: master offset     -15850 s2 freq   -2131 path delay     -6050
ptp4l[9435.353]: master offset       3200 s2 freq    -223 path delay     -6900
ptp4l[9436.353]: master offset       -600 s2 freq    -603 path delay     -6900
ptp4l[9437.353]: master offset       -200 s2 freq    -563 path delay     -6900
ptp4l[9438.353]: master offset       5400 s2 freq      +2 path delay     -9100
ptp4l[9439.353]: master offset       3700 s2 freq    -164 path delay     -9100
ptp4l[9440.353]: master offset       5400 s2 freq     +11 path delay     -9100
ptp4l[9441.353]: master offset       4700 s2 freq     -54 path delay     -8300
ptp4l[9442.354]: master offset       7450 s2 freq    +228 path delay    -10950
ptp4l[9443.356]: master offset      -2850 s2 freq    -805 path delay    -10950
ptp4l[9444.354]: master offset       7050 s2 freq    +192 path delay    -10950
ptp4l[9445.354]: master offset       6350 s2 freq    +129 path delay    -10950
ptp4l[9446.354]: master offset       6450 s2 freq    +145 path delay    -10950
ptp4l[9447.355]: master offset       2775 s2 freq    -219 path delay     -9875
ptp4l[9448.355]: master offset       -675 s2 freq    -565 path delay     -8025
ptp4l[9448.457]: master offset   40664244 s2 freq +4106591 path delay     -8025
ptp4l[9449.356]: master offset     -17775 s2 freq  +38371 path delay     -8025
ptp4l[9449.518]: master offset   40710794 s2 freq +4151939 path delay     -8025
ptp4l[9450.355]: master offset      -3125 s2 freq  +80544 path delay     -4775
ptp4l[9450.657]: master offset   60229196 s2 freq +6164005 path delay     -5850
ptp4l[9451.355]: master offset       1450 s2 freq +141232 path delay     -5850
ptp4l[9451.727]: master offset   40990742 s2 freq +4281152 path delay     -5850
ptp4l[9452.356]: master offset      -7325 s2 freq +181338 path delay     -4775
